Area,Weekend,Releases,#1 Release,Distributor,Weekend Gross
South Korea,Mar 7-9,45,Mickey 17,-,"$3,857,080"
Japan,Mar 8-9,13,Wicked,Universal Pictures International (UPI),"$3,508,177"
France,Mar 5-9,36,Mickey 17,Warner Bros.,"$2,822,667"
United Kingdom,Mar 7-9,64,Mickey 17,Warner Bros.,"$2,755,016"
Italy,Mar 6-9,31,Follemente,01 Distribution,"$2,439,895"
Russia/CIS,Mar 6-9,139,Tsarevna-lyagushka,-,"$2,318,422"
Vietnam,Mar 7-9,23,Quy Nhap Trang,CGV Mars Dagitim,"$1,775,360"
China,Mar 7-9,6,Mickey 17,-,"$1,400,000"
Mexico,Mar 7-9,23,Mickey 17,Warner Bros.,"$1,322,604"
Germany,Mar 6-9,24,Mickey 17,Warner Bros.,"$1,300,000"
Spain,Mar 7-9,21,Mickey 17,Warner Bros.,"$911,000"
Poland,Mar 7-9,26,Graduation Heist,Next Film,"$729,142"
Brazil,Mar 6-9,21,Captain America: Brave New World,Walt Disney Studios Motion Pictures,"$724,764"
Australia,Mar 6-9,22,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$623,885"
Taiwan,Mar 7-9,16,Mickey 17,-,"$614,000"
Netherlands,Mar 6-9,21,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$466,061"
Hong Kong,Mar 6-9,14,Mickey 17,Warner Bros.,"$466,000"
Colombia,Mar 6-9,44,Captain America: Brave New World,Walt Disney Pictures,"$318,495"
Argentina,Mar 6-9,20,Captain America: Brave New World,Walt Disney Pictures,"$232,285"
Denmark,Mar 6-9,18,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$217,148"
Türkiye,Mar 7-9,57,Mickey 17,TME Film,"$179,643"
Switzerland,Mar 5-9,14,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$178,688"
India,Mar 7-9,13,The Monkey,Impact Films,"$172,333"
Philippines,Mar 5-9,13,Captain America: Brave New World,Walt Disney Pictures,"$168,505"
Norway,Mar 7-9,24,Spermageddon,SF Norge A/S,"$165,149"
Austria,Mar 6-9,20,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$164,153"
Belgium,Mar 5-9,19,Captain America: Brave New World,Walt Disney Pictures,"$154,911"
Portugal,Mar 6-9,41,Mickey 17,Cinemundo,"$145,707"
Czech Republic,Mar 6-9,9,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$133,661"
Indonesia,Mar 5-9,11,Captain America: Brave New World,Walt Disney Pictures,"$123,837"
Sweden,Mar 7-9,18,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$120,855"
New Zealand,Mar 6-9,21,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$118,935"
Chile,Mar 6-9,18,Captain America: Brave New World,Walt Disney Pictures,"$116,352"
Finland,Mar 7-9,16,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$113,711"
Malaysia,Mar 6-9,12,Captain America: Brave New World,Walt Disney Pictures,"$108,491"
Hungary,Mar 6-9,14,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$77,469"
Singapore,Mar 6-9,17,Captain America: Brave New World,Walt Disney Pictures,"$77,128"
Lithuania,Mar 7-9,27,The Southern Chronicles,ACME,"$73,954"
Peru,Mar 6-9,11,The Monkey,-,"$72,076"
United Arab Emirates,Mar 6-9,11,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$64,633"
Greece,Mar 6-9,18,Anora,Universal Pictures International (UPI),"$58,654"
Romania,Mar 7-9,9,The Monkey,Prorom Media-Trade,"$56,635"
South Africa,Mar 7-9,27,Captain America: Brave New World,Filmfinity,"$53,798"
Russia,Mar 6-9,2,Anora,-,"$47,913"
Croatia,Mar 6-9,26,Mickey 17,Warner Bros.,"$46,909"
Central America,Mar 6-9,6,Anora,Universal Pictures International (UPI),"$43,914"
Serbia and Montenegro,Mar 6-9,14,Mickey 17,Blitz,"$43,392"
Slovakia,Mar 6-9,7,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$42,852"
Israel,Mar 6-9,14,The Brutalist,Universal Pictures International (UPI),"$42,504"
Thailand,Mar 6-9,15,Captain America: Brave New World,Walt Disney Pictures,"$40,257"
Iceland,Mar 7-9,26,Mickey 17,Sam Film,"$30,984"
Latvia,Mar 7-9,11,Dog Man,Universal Pictures International (UPI),"$23,810"
Ukraine,Mar 6-9,9,The Monkey,-,"$22,368"
Uruguay,Mar 6-9,10,Anora,Universal Pictures International (UPI),"$21,564"
Slovenia,Mar 6-9,24,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$17,621"
Estonia,Mar 7-9,9,Anora,Universal Pictures International (UPI),"$16,865"
Ecuador,Mar 7-9,3,The Monkey,-,"$16,815"
Bolivia,Mar 6-9,7,The Monkey,-,"$12,788"
Bulgaria,Mar 7-9,7,Dog Man,Forum Film,"$9,039"
Cyprus,Mar 7-9,4,Dog Man,Universal Pictures International (UPI),"$6,689"
Venezuela,Mar 7-9,1,The Monkey,-,"$6,121"
Costa Rica,Mar 6-9,3,Conclave,Sun Distribution,"$5,740"
Panama,Mar 6-9,6,Conclave,Sun Distribution,"$5,390"
Saudi Arabia,Mar 6-9,3,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$5,345"
Middle East Other,Mar 6-9,6,Dog Man,Universal Pictures International (UPI),"$5,343"
Paraguay,Mar 7-9,3,Conclave,Sun Distribution,"$4,487"
Guatemala,Mar 6-9,3,Conclave,Sun Distribution,"$4,025"
Trinidad & Tobago,Mar 5-9,3,Dog Man,Universal Pictures International (UPI),"$3,330"
Lebanon,Mar 6-9,5,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$3,130"
El Salvador,Mar 6-9,3,The Monkey,-,"$3,117"
Honduras,Mar 6-9,2,The Monkey,-,"$1,750"
North Macedonia,Mar 7-9,3,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$1,466"
Nicaragua,Mar 6-9,1,Conclave,Sun Distribution,"$1,418"
Sri Lanka,Mar 7-9,2,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),"$1,057"
Dominican Republic,Mar 6-9,2,Conclave,Sun Distribution,$980
Kenya,Mar 5-9,2,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),$791
Albania,Mar 8-9,3,Dog Man,Universal Pictures International (UPI),$701
Nigeria,Mar 5-9,3,Dog Man,Universal Pictures International (UPI),$454
Egypt,Mar 5-9,2,Bridget Jones: Mad About the Boy,Universal Pictures International (UPI),$285
Bosnia and Herzegovina,Mar 6-9,6,-,-,-
Switzerland (German),Feb 27-Mar 2,2,The Monkey,-,"$38,404"
Switzerland (French),Feb 26-Mar 2,2,The Monkey,-,"$24,500"
West Indies,Feb 27-Mar 2,2,The Monkey,-,"$14,160"
Puerto Rico,Feb 28-Mar 2,1,"Nosotros, los De la Fe",CanZion Films,"$7,702"
Pakistan,Feb 26-Mar 2,1,Wolf Man,Universal Pictures International (UPI),$451
Switzerland (Italian),Feb 20-23,2,Maria,Pathé Films,"$4,073"
Qatar,Feb 20-23,2,Maria,Italia Film,$176
